x,y
9.78E-05,-0.00396414
9.60E-05,-0.001032909
9.05E-05,-0.001134926
9.05E-05,-0.004127682
9.60E-05,-0.003981391
7.57E-05,-0.001525127
9.05E-05,-0.002909013
9.60E-05,-0.002763959
9.78E-05,-0.002740909
9.99E-05,-0.00093432
9.99E-05,-0.002588338
9.64E-05,-0.001685675
8.94E-05,-0.002389617
8.92E-05,-0.002478332
8.66E-05,-0.00257993
8.66E-05,-0.002755154
8.98E-05,-0.002624003
9.02E-05,-0.002684991
8.80E-05,-0.002775638
9.38E-05,-0.002633659
9.30E-05,-0.002657282
9.22E-05,-0.002684948
9.40E-05,-0.002686105
9.43E-05,-0.002679464
8.54E-05,-0.002956122
9.34E-05,-0.002762404
9.46E-05,-0.002724622
8.92E-05,-0.002977073
9.45E-05,-0.002828761
9.43E-05,-0.002836369
8.82E-05,-0.003020952
9.11E-05,-0.002949975
9.70E-05,-0.002792626
9.28E-05,-0.002929559
9.86E-05,-0.002859536
9.41E-05,0.001808586
8.92E-05,0.001544131
8.98E-05,-3.70E-05
8.66E-05,-0.000104708
9.02E-05,-0.000162576
8.98E-05,0.001269534
8.80E-05,-0.000211974
8.40E-05,-0.000313347
8.45E-05,-0.000300416
8.54E-05,-0.000410182
8.46E-05,-0.000570759
8.92E-05,-0.000660569
8.82E-05,-0.000691818
9.11E-05,-0.000702133
9.28E-05,-0.000741431
9.86E-05,-0.00091438
9.64E-05,-0.001985268
9.41E-05,-0.002185337
9.50E-05,-0.002449317
9.38E-05,-0.004172616
9.30E-05,-0.004201101
9.40E-05,-0.00421032
9.43E-05,-0.004202308
9.46E-05,-0.000415634
9.46E-05,-0.004227961
9.34E-05,-0.000439845
9.45E-05,-0.000609129
9.43E-05,-0.000614836
9.70E-05,-0.00423103
9.70E-05,-0.000635033
9.39E-05,-0.004098693
8.77E-05,-0.004413513
9.39E-05,-0.008048161
9.19E-05,-0.004242217
8.81E-05,-0.004430389
8.79E-05,-0.004486991
9.19E-05,-0.008181449
8.90E-05,-0.004509517
8.39E-05,-0.007253879
8.62E-05,-0.004694047
8.90E-05,-0.008399855
8.92E-05,-0.004577391
8.57E-05,-0.007118038
8.39E-05,-0.007274705
8.39E-05,-0.007275737
8.19E-05,-0.007447273
8.66E-05,-0.00707081
8.15E-05,-0.002594725
8.57E-05,-0.004890726
8.70E-05,-0.004806726
8.05E-05,-0.002652859
8.43E-05,-0.007237289
8.15E-05,-0.007449922
8.05E-05,-0.007532451
8.08E-05,-0.002707177
8.36E-05,-0.007265369
8.66E-05,-0.007027895
8.70E-05,-0.008346409
8.57E-05,-0.008418773
8.08E-05,-0.007471771
8.80E-05,-0.006909181
7.82E-05,-0.007673419
8.20E-05,-0.007345683
8.94E-05,-0.008041224
8.66E-05,-0.004835922
8.40E-05,-0.007169387
8.45E-05,-0.007138351
8.25E-05,-0.007272067
8.43E-05,-0.004954901
8.92E-05,-0.007957528
8.99E-05,-0.004623881
9.51E-05,-0.007525018
8.55E-05,-0.007032777
8.26E-05,-0.002807261
8.66E-05,-0.00806856
8.66E-05,-0.004775411
9.03E-05,-0.004578189
9.38E-05,-0.004406012
9.31E-05,-0.004432211
8.46E-05,-0.007030531
9.23E-05,-0.004461426
8.27E-05,-0.007144184
8.99E-05,-0.007706147
8.80E-05,-0.004672138
7.99E-05,-0.007291956
8.03E-05,-0.007271289
9.41E-05,-0.004357577
9.43E-05,-0.004351061
8.38E-05,-0.00279696
8.82E-05,-0.006707592
8.92E-05,-0.006660905
9.11E-05,-0.006498408
9.03E-05,-0.007575159
9.38E-05,-0.007365676
8.66E-05,-0.007812853
9.31E-05,-0.007384801
9.23E-05,-0.007405043
8.11E-05,-0.007138382
9.47E-05,-0.004297157
9.35E-05,-0.004332827
8.38E-05,-0.006917997
8.47E-05,-0.002772825
8.58E-05,-0.002732167
9.28E-05,-0.006345273
8.80E-05,-0.007629131
9.41E-05,-0.007242492
9.43E-05,-0.007238293
8.68E-05,-0.002701635
8.15E-05,-0.007020124
8.58E-05,-0.006736578
8.41E-05,-0.006806955
8.47E-05,-0.006781806
9.47E-05,-0.007103818
8.68E-05,-0.006599219
9.35E-05,-0.007120155
9.46E-05,-0.004192975
9.43E-05,-0.004197961
9.70E-05,-0.004077118
9.39E-05,-0.001272637
9.19E-05,-0.001427844
8.90E-05,-0.00158991
8.39E-05,0.001757487
8.26E-05,0.001747145
7.52E-05,-0.002702805
7.73E-05,-0.002704184
7.74E-05,-0.002697462
8.39E-05,0.001419032
8.19E-05,-0.002590128
7.46E-05,-0.002845602
7.82E-05,-0.002758453
8.39E-05,0.001259669
8.19E-05,0.001216787
8.05E-05,-0.00284682
7.82E-05,0.001109793
